time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.750186968708396e-07,-9.115985232761532e-08,10.00353042991283,6.282935784593546,0.0003321553902608798,0.0,-3.178336395194938e-05,-1.4348176050673258e-05,0.11767536143116683,-0.01414361619324529,0.014786288624761793,0.0,441.4144615397438,442.63268992222027,443.5017648158987,442.3388468966798
0.12000000000000001,-1.2601963507702056e-05,-9.263049012161613e-06,10.01381566655807,6.28227203653935,0.0008804089558047679,0.0,-0.000453368172608298,-0.0003687134333253962,0.22514996784995644,-0.005519952807233073,-0.00563563529455201,0.0,440.7405093821723,439.04963303697633,438.3236946339347,439.0397653100689
0.18,-5.581006683700107e-05,-5.005692197014037e-05,10.02934423457022,6.282388381363541,0.0003036470645421119,0.0,-0.0009439017646331164,-0.0009984973970431005,0.29245361375815915,0.013760214923235722,-0.019071077854544004,0.0,427.09700640525455,425.949867484584,425.5817181114063,427.2284828270068
0.23999999999999996,-0.0001143672950401372,-0.00012388240059986672,10.05083714289157,2.6514810638644803e-05,6.282256298386562,0.0,-0.000881413991537248,-0.0013743716236558079,0.4239364356751656,0.013651505239998953,-0.02366632754112991,0.0,447.11063560128406,446.7361756903199,446.8552224931353,446.8462470815901
0.3,-0.00014101590461542267,-0.0002023757405029241,10.080926641952953,0.0008379689646575983,6.281142652565098,0.0,0.0001308669017082534,-0.0011522739168445457,0.5789803553918295,0.013268481585765823,-0.009924081716571706,0.0,453.26896247489213,454.3718759635485,454.67776232615773,454.64696025593815
0.36000000000000004,-8.425792991427386e-05,-0.0002489890796675137,10.120903014754322,0.0012804296787596314,6.2808665886833985,0.0,0.0018081926339669299,-0.00032722266871733954,0.7534660593533464,-0.00828620059561544,0.004347996101431884,0.0,459.5389264625739,460.66876707021396,461.34771357715,459.6428483478179
0.4200000000000001,6.764253211599744e-05,-0.0002458321339758517,10.167612614046377,0.0008123361680798524,6.281237777553756,0.0,0.0032249600341743524,0.0003867706118421396,0.8034865455000042,-0.0068494580636485145,0.009630989872146382,0.0,422.29094062589076,422.74624684213103,420.09418403228676,420.2188415277431
0.48000000000000015,0.00029269922977796624,-0.00020977195882759245,10.215726012422895,0.00021798778389570117,6.281227897310941,0.0,0.0042331909404887125,0.0007723657610000298,0.8002957725055256,-0.016852276188410495,-0.041791021441024825,0.0,405.80045964466586,401.15854856911903,403.9777741718883,403.075030004639
0.5400000000000001,0.0005870395893078342,-0.0001628704636800552,10.262815979381442,6.281971038325693,6.278929227573979,0.0,0.005776115671147999,0.0006951826833204466,0.7693908332877681,-0.04408646011659077,-0.03213077977738159,0.0,394.2277691849021,395.1183117099838,394.2871679293158,391.76305135023097
0.6000000000000002,0.00103690038853722,-0.00015941536735388472,10.313718433140581,6.279058192911165,6.277028838353637,0.0,0.00943033562862853,-0.0008849147606422394,0.9272408476706218,-0.05942689851035312,-0.030773425496661337,0.0,456.2574547115763,456.36546410422665,455.32532695075435,454.09510988592865
0.6600000000000003,0.0017438218947616083,-0.0003159171151544242,10.3733949322812,6.275887542937063,6.274903727430512,0.0,0.014343374258933127,-0.0046894031491928265,1.061856741900454,-0.04216597206861661,-0.046863716935269424,0.0,450.12341683213276,448.81897228644107,447.1035940756527,448.5056085581258
0.7200000000000003,0.0028199585676358554,-0.0007860893126284485,10.443922993212455,6.274128220826164,6.271940380701006,0.0,0.021873981375586903,-0.011230799325524326,1.2888453013071712,-0.011483246396879062,-0.05498807959889398,0.0,477.1840611623017,476.5621837755691,475.22969568255417,477.57511748395297
0.7800000000000004,0.004404344117721749,-0.0016706046328831047,10.526523554409406,6.2731362536886195,6.268426078068263,0.0,0.031320577724105514,-0.018343209770903042,1.464292685592267,-0.0292665244350445,-0.06692245699157044,0.0,462.5945348373391,461.651607450423,462.3376861101173,460.93465044977563
0.8400000000000004,0.006602787858909336,-0.0029838888606593898,10.617311767984782,6.272059905169023,6.264418309292605,0.0,0.04236659838806386,-0.025569008998311035,1.5618443082297624,-0.0016442421101217648,-0.06654484017734665,0.0,438.9536432280479,438.98158512963664,436.458279756411,438.75733178862475
0.9000000000000005,0.00956515117910936,-0.004758282750927169,10.714914334333894,6.271762994327187,6.260490624256528,0.0,0.05679639596309205,-0.033595321368805414,1.6913825171929375,-0.012548194764579735,-0.06337912280716165,0.0,447.9768087291191,448.23099786757945,449.57617108819557,448.6919697659583
0.9600000000000005,0.013590602214495123,-0.007079517398117352,10.825161050429896,6.27099492766895,6.2571420616464355,0.0,0.07783643643300547,-0.043872870097092405,1.9830361005869281,-0.01331179571580883,-0.04385256801713822,0.0,495.2617489164892,496.69386959518334,497.53470279469605,497.4789361646435
1.0200000000000005,0.01898233551660957,-0.010047270181427233,10.95369311110862,6.2704516476398915,6.254835678990943,0.0,0.1022013340342444,-0.05513348644539402,2.300771389174028,-0.0016697485611889126,-0.02936536748214139,0.0,503.7496985527271,504.7955551029544,505.1935559291564,506.03237287303614
1.0800000000000005,0.02567646722634243,-0.013605363733038894,11.093687185748008,6.270316739379535,6.252560500952864,0.0,0.12111657693700535,-0.06347929452596413,2.365558865800117,-0.0034318746369229516,-0.0665333333697877,0.0,431.99719280342634,428.8506513683128,431.4177347074453,431.26897522729917
